Market,Medium,Month, Rate Card , Discount , Added Value 
"Mauritius 
(MUR)",DOOH,Jul, 685 000 , -   , -   
"Mozambique 
(MZN)",Digital,Jul, 788 828 , 52 122 , -   
"Mozambique 
(MZN)",OOH,Jul, 1 559 596 , 23 999 , -   
"Mozambique 
(MZN)",DOOH,Jul, 551 386 , 45 329 , -   
"Seychells
(SCR)",Television,Jul, 11 000 , -   , -   
"Seychells
(SCR)",Digital,Jul, 37 383 , 7 103 , -   
"Seychells
(SCR)",Radio,Jul, 40 628 , 9 344 , -   
"Seychells
(SCR)",Print,Jul, 79 627 , 19 907 , -   
"Seychells
(SCR)",OOH,Jul, 29 900 , 5 980 , -   
"Seychells
(SCR)",DOOH,Jul, 58 474 , 19 230 , -   
"Tanzania 
(TZS)",Digital,Jul, 6 092 800 , -   ,
"Uganda 
(UGX)",Television,Jul, 90 000 000 , 34 000 000 , 60 967 738 
"Uganda 
(UGX)",Radio,Jul, 128 000 000 , 83 500 000 , 129 879 435 
"Uganda 
(UGX)",Print,Jul, 85 000 000 , -   ,
"Uganda 
(UGX)",DOOH,Jul, 25 000 000 , 11 000 000 ,
"Zambia 
(ZMW)",Television,Jul, 660 000 , 80 000 , 105 000 
"Zambia 
(ZMW)",Digital,Jul, 320 000 , 22 400 , 5 520 
"Zambia 
(ZMW)",Radio,Jul, 650 000 , 165 383 , 120 000 
"Zambia 
(ZMW)",Print,Jul, 90 000 , 10 000 ,
"Zambia 
(ZMW)",OOH,Jul, 420 000 , 59 363 , 72 000 
"Zambia 
(ZMW)",DOOH,Jul, 190 000 , 59 000 , 200 000 
Botswana (BWP),Digital,Aug, 129 800 , -   , -   
Botswana (BWP),Radio,Aug, 101 160 , 18 900 ,
Botswana (BWP),Print,Aug, 102 481 , 15 563 ,
Botswana (BWP),OOH,Aug, 120 688 , 29 569 ,
Botswana (BWP),DOOH,Aug, 206 234 , 39 671 ,
"Ghana 
(GHS)",Television,Aug, 206 170 , 77 400 , -   
"Ghana 
(GHS)",Digital,Aug, 107 634 ,-26 764 , -   
"Ghana 
(GHS)",Radio,Aug, 674 183 , 389 080 , -   
